leafmono1_4	gi|1190752754|gb|KY432787.1|	100.000	9.27e-66	261	Eukaryota	Nardus stricta	141	107939	107799
leafmono1_4	gi|1190752754|gb|KY432787.1|	100.000	1.20e-64	257	Eukaryota	Nardus stricta	139	107484	107622
leafmono1_5	gi|1190752754|gb|KY432787.1|	100.000	9.27e-66	261	Eukaryota	Nardus stricta	141	103624	103764
leafmono1_5	gi|1190752754|gb|KY432787.1|	100.000	1.20e-64	257	Eukaryota	Nardus stricta	139	104024	103886
leafmono1_8	gi|530279157|gb|KF184972.1|	87.970	4.50e-34	156	Eukaryota	Saccharum hybrid cultivar R570	133	58517	58385
leafmono1_8	gi|530279157|gb|KF184972.1|	79.286	9.95e-16	95.3	Eukaryota	Saccharum hybrid cultivar R570	140	69023	69160
leafmono1_13	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	58071	57932
leafmono1_13	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	64561	64422
leafmono1_15	gi|315630628|gb|HQ389671.1|	90.845	4.44e-44	189	Eukaryota	Triticum aestivum	142	227	86
leafmono1_19	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	58071	57932
leafmono1_19	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	64561	64422
leafmono1_20	gi|188038099|gb|EU660902.1|	89.474	1.68e-08	71.3	Eukaryota	Triticum aestivum	57	93056	93001
leafmono1_22	gi|1333881544|emb|LN483358.1|	100.000	0.006	52.8	Eukaryota	Culicoides sonorensis	28	780057	780030
leafmono1_23	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	58071	57932
leafmono1_23	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	64561	64422
leafmono1_25	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	58071	57932
leafmono1_25	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	64561	64422
leafmono1_31	gi|1189419126|gb|CP018168.1|	85.600	7.58e-27	132	Eukaryota	Oryza sativa Indica Group	125	24014381	24014505
leafmono1_35	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	58071	57932
leafmono1_35	gi|288856427|gb|AC190571.5|	90.780	1.60e-43	187	Eukaryota	Zea mays	141	64561	64422
leafmono1_38	gi|288856427|gb|AC190571.5|	91.489	3.43e-45	193	Eukaryota	Zea mays	141	58071	57932
leafmono1_38	gi|288856427|gb|AC190571.5|	91.489	3.43e-45	193	Eukaryota	Zea mays	141	64561	64422
leafmono1_46	gi|1189419124|gb|CP018166.1|	92.701	2.65e-46	196	Eukaryota	Oryza sativa Indica Group	137	23961386	23961521
